Source,Target,Type,Weight
1,171,undirected,5
2,230,undirected,4
3,171,undirected,4
4,20,undirected,4
5,130,undirected,3
6,33,undirected,3
7,8,undirected,3
7,171,undirected,3
8,171,undirected,3
9,260,undirected,3
10,261,undirected,3
11,167,undirected,3
12,262,undirected,3
13,6,undirected,3
13,42,undirected,3
6,42,undirected,3
14,98,undirected,3
15,4,undirected,3
15,20,undirected,3
16,263,undirected,3
17,264,undirected,3
2,12,undirected,3
18,265,undirected,3
19,20,undirected,3
20,266,undirected,3
21,119,undirected,3
22,23,undirected,2
22,2,undirected,2
23,2,undirected,2
24,93,undirected,2
25,267,undirected,2
26,268,undirected,2
27,20,undirected,2
28,29,undirected,2
28,30,undirected,2
28,269,undirected,2
29,30,undirected,2
29,269,undirected,2
30,269,undirected,2
17,84,undirected,2
2,45,undirected,2
10,270,undirected,2
31,271,undirected,2
11,272,undirected,2
32,36,undirected,2
33,12,undirected,2
33,262,undirected,2
34,84,undirected,2
35,84,undirected,2
26,262,undirected,2
36,273,undirected,2
37,274,undirected,2
38,39,undirected,2
38,17,undirected,2
39,17,undirected,2
40,275,undirected,2
32,20,undirected,2
13,41,undirected,2
13,33,undirected,2
13,276,undirected,2
6,41,undirected,2
6,276,undirected,2
41,33,undirected,2
41,42,undirected,2
41,276,undirected,2
33,42,undirected,2
33,276,undirected,2
42,276,undirected,2
43,140,undirected,2
44,45,undirected,2
44,46,undirected,2
44,12,undirected,2
45,46,undirected,2
45,12,undirected,2
46,12,undirected,2
47,277,undirected,2
17,278,undirected,2
48,17,undirected,2
48,264,undirected,2
49,200,undirected,2
50,279,undirected,2
51,2,undirected,2
51,12,undirected,2
52,149,undirected,2
53,54,undirected,2
53,280,undirected,2
54,280,undirected,2
2,55,undirected,2
2,20,undirected,2
55,20,undirected,2
48,281,undirected,2
56,47,undirected,2
16,57,undirected,2
57,263,undirected,2
58,12,undirected,2
59,17,undirected,2
59,53,undirected,2
17,53,undirected,2
60,282,undirected,2
56,90,undirected,2
61,62,undirected,2
61,283,undirected,2
62,283,undirected,2
63,146,undirected,2
64,20,undirected,2
64,266,undirected,2
65,66,undirected,2
65,62,undirected,2
65,284,undirected,2
66,62,undirected,2
66,284,undirected,2
62,284,undirected,2
67,285,undirected,2
68,69,undirected,2
68,2,undirected,2
69,2,undirected,2
70,31,undirected,2
71,172,undirected,2
72,2,undirected,2
73,117,undirected,2
17,122,undirected,2
74,179,undirected,2
19,12,undirected,2
75,162,undirected,2
17,9,undirected,2
36,257,undirected,2
76,286,undirected,2
77,78,undirected,2
77,277,undirected,2
78,277,undirected,2
79,14,undirected,2
79,98,undirected,2
10,54,undirected,1
10,274,undirected,1
54,274,undirected,1
80,287,undirected,1
81,82,undirected,1
81,12,undirected,1
82,12,undirected,1
83,288,undirected,1
2,262,undirected,1
84,249,undirected,1
1,162,undirected,1
85,264,undirected,1
40,86,undirected,1
40,289,undirected,1
86,289,undirected,1
87,290,undirected,1
88,89,undirected,1
88,20,undirected,1
89,20,undirected,1
90,263,undirected,1
91,291,undirected,1
92,292,undirected,1
27,93,undirected,1
27,94,undirected,1
27,293,undirected,1
93,94,undirected,1
93,293,undirected,1
94,293,undirected,1
95,97,undirected,1
72,6,undirected,1
72,33,undirected,1
72,294,undirected,1
6,294,undirected,1
33,294,undirected,1
96,119,undirected,1
97,98,undirected,1
97,295,undirected,1
98,295,undirected,1
84,97,undirected,1
62,296,undirected,1
40,297,undirected,1
84,283,undirected,1
16,10,undirected,1
16,270,undirected,1
99,45,undirected,1
100,101,undirected,1
100,298,undirected,1
101,298,undirected,1
102,97,undirected,1
103,96,undirected,1
103,99,undirected,1
96,99,undirected,1
104,117,undirected,1
105,299,undirected,1
106,36,undirected,1
107,100,undirected,1
107,133,undirected,1
100,133,undirected,1
108,117,undirected,1
109,45,undirected,1
13,110,undirected,1
13,111,undirected,1
13,112,undirected,1
13,113,undirected,1
13,114,undirected,1
13,115,undirected,1
13,300,undirected,1
110,6,undirected,1
110,111,undirected,1
110,42,undirected,1
110,112,undirected,1
110,113,undirected,1
110,114,undirected,1
110,115,undirected,1
110,300,undirected,1
6,111,undirected,1
6,112,undirected,1
6,113,undirected,1
6,114,undirected,1
6,115,undirected,1
6,300,undirected,1
111,42,undirected,1
111,112,undirected,1
111,113,undirected,1
111,114,undirected,1
111,115,undirected,1
111,300,undirected,1
42,112,undirected,1
42,113,undirected,1
42,114,undirected,1
42,115,undirected,1
42,300,undirected,1
112,113,undirected,1
112,114,undirected,1
112,115,undirected,1
112,300,undirected,1
113,114,undirected,1
113,115,undirected,1
113,300,undirected,1
114,115,undirected,1
114,300,undirected,1
115,300,undirected,1
116,12,undirected,1
117,228,undirected,1
62,301,undirected,1
118,119,undirected,1
118,302,undirected,1
119,302,undirected,1
120,46,undirected,1
56,72,undirected,1
69,14,undirected,1
69,98,undirected,1
26,12,undirected,1
121,122,undirected,1
121,303,undirected,1
122,303,undirected,1
123,304,undirected,1
124,305,undirected,1
125,126,undirected,1
125,55,undirected,1
126,55,undirected,1
127,128,undirected,1
127,306,undirected,1
128,306,undirected,1
129,130,undirected,1
129,307,undirected,1
130,307,undirected,1
131,96,undirected,1
131,266,undirected,1
96,266,undirected,1
34,122,undirected,1
32,97,undirected,1
97,20,undirected,1
132,160,undirected,1
133,308,undirected,1
134,269,undirected,1
135,309,undirected,1
40,310,undirected,1
4,136,undirected,1
4,137,undirected,1
4,270,undirected,1
136,137,undirected,1
136,270,undirected,1
137,270,undirected,1
138,311,undirected,1
139,312,undirected,1
68,10,undirected,1
77,140,undirected,1
77,249,undirected,1
140,249,undirected,1
43,141,undirected,1
141,140,undirected,1
142,313,undirected,1
143,314,undirected,1
96,144,undirected,1
96,2,undirected,1
96,315,undirected,1
144,2,undirected,1
144,315,undirected,1
2,315,undirected,1
96,216,undirected,1
2,182,undirected,1
145,263,undirected,1
146,316,undirected,1
50,147,undirected,1
147,279,undirected,1
146,317,undirected,1
52,148,undirected,1
52,318,undirected,1
148,149,undirected,1
148,318,undirected,1
149,318,undirected,1
80,150,undirected,1
80,230,undirected,1
150,230,undirected,1
59,72,undirected,1
59,319,undirected,1
72,319,undirected,1
151,20,undirected,1
152,279,undirected,1
153,166,undirected,1
93,55,undirected,1
154,155,undirected,1
154,320,undirected,1
155,320,undirected,1
156,100,undirected,1
157,162,undirected,1
158,177,undirected,1
159,321,undirected,1
77,322,undirected,1
118,69,undirected,1
80,160,undirected,1
80,47,undirected,1
80,323,undirected,1
160,47,undirected,1
160,323,undirected,1
47,323,undirected,1
161,324,undirected,1
54,325,undirected,1
52,17,undirected,1
162,31,undirected,1
146,171,undirected,1
106,96,undirected,1
106,4,undirected,1
96,4,undirected,1
163,146,undirected,1
117,274,undirected,1
32,164,undirected,1
32,122,undirected,1
164,122,undirected,1
165,80,undirected,1
165,84,undirected,1
165,326,undirected,1
80,84,undirected,1
80,326,undirected,1
84,326,undirected,1
166,327,undirected,1
50,167,undirected,1
167,279,undirected,1
168,328,undirected,1
118,202,undirected,1
36,230,undirected,1
169,329,undirected,1
52,170,undirected,1
52,330,undirected,1
149,170,undirected,1
149,330,undirected,1
170,330,undirected,1
17,331,undirected,1
171,172,undirected,1
171,332,undirected,1
172,332,undirected,1
77,333,undirected,1
173,273,undirected,1
174,18,undirected,1
174,265,undirected,1
175,158,undirected,1
146,334,undirected,1
176,183,undirected,1
177,335,undirected,1
178,336,undirected,1
179,155,undirected,1
179,337,undirected,1
155,337,undirected,1
70,97,undirected,1
84,338,undirected,1
32,4,undirected,1
180,122,undirected,1
135,181,undirected,1
135,339,undirected,1
181,339,undirected,1
171,340,undirected,1
182,183,undirected,1
182,20,undirected,1
183,20,undirected,1
184,46,undirected,1
185,341,undirected,1
38,96,undirected,1
186,56,undirected,1
43,117,undirected,1
117,140,undirected,1
73,172,undirected,1
117,172,undirected,1
187,188,undirected,1
187,189,undirected,1
187,336,undirected,1
188,189,undirected,1
188,336,undirected,1
189,336,undirected,1
59,99,undirected,1
59,122,undirected,1
59,182,undirected,1
99,122,undirected,1
99,182,undirected,1
122,182,undirected,1
117,342,undirected,1
103,19,undirected,1
103,12,undirected,1
179,343,undirected,1
190,191,undirected,1
190,344,undirected,1
191,344,undirected,1
56,96,undirected,1
56,17,undirected,1
96,17,undirected,1
192,260,undirected,1
131,345,undirected,1
10,346,undirected,1
36,23,undirected,1
30,19,undirected,1
193,194,undirected,1
193,195,undirected,1
193,347,undirected,1
194,195,undirected,1
194,347,undirected,1
195,347,undirected,1
84,348,undirected,1
196,140,undirected,1
196,172,undirected,1
140,172,undirected,1
197,171,undirected,1
198,349,undirected,1
199,84,undirected,1
199,260,undirected,1
84,260,undirected,1
200,350,undirected,1
77,351,undirected,1
201,352,undirected,1
27,19,undirected,1
43,22,undirected,1
202,271,undirected,1
203,353,undirected,1
27,17,undirected,1
27,23,undirected,1
17,23,undirected,1
52,204,undirected,1
52,205,undirected,1
52,354,undirected,1
204,205,undirected,1
204,354,undirected,1
205,354,undirected,1
206,84,undirected,1
206,172,undirected,1
84,172,undirected,1
69,84,undirected,1
69,270,undirected,1
84,270,undirected,1
207,4,undirected,1
21,208,undirected,1
21,262,undirected,1
119,208,undirected,1
119,262,undirected,1
208,262,undirected,1
209,140,undirected,1
210,84,undirected,1
69,171,undirected,1
200,355,undirected,1
2,172,undirected,1
211,17,undirected,1
211,9,undirected,1
40,356,undirected,1
146,357,undirected,1
43,27,undirected,1
77,358,undirected,1
212,359,undirected,1
213,279,undirected,1
43,183,undirected,1
214,360,undirected,1
103,2,undirected,1
90,279,undirected,1
162,136,undirected,1
215,32,undirected,1
215,99,undirected,1
215,361,undirected,1
32,99,undirected,1
32,361,undirected,1
99,361,undirected,1
216,45,undirected,1
217,17,undirected,1
217,362,undirected,1
17,362,undirected,1
135,45,undirected,1
218,117,undirected,1
218,363,undirected,1
117,363,undirected,1
27,84,undirected,1
219,364,undirected,1
220,221,undirected,1
220,365,undirected,1
221,365,undirected,1
70,259,undirected,1
29,66,undirected,1
36,222,undirected,1
36,354,undirected,1
222,354,undirected,1
223,84,undirected,1
9,192,undirected,1
68,12,undirected,1
22,262,undirected,1
135,160,undirected,1
224,366,undirected,1
103,186,undirected,1
225,36,undirected,1
27,367,undirected,1
162,368,undirected,1
177,369,undirected,1
226,19,undirected,1
226,12,undirected,1
118,31,undirected,1
227,370,undirected,1
162,255,undirected,1
96,19,undirected,1
144,230,undirected,1
26,22,undirected,1
228,229,undirected,1
228,230,undirected,1
228,280,undirected,1
229,230,undirected,1
229,280,undirected,1
230,280,undirected,1
38,231,undirected,1
38,226,undirected,1
231,226,undirected,1
232,233,undirected,1
232,371,undirected,1
233,371,undirected,1
234,280,undirected,1
94,46,undirected,1
9,372,undirected,1
235,236,undirected,1
235,167,undirected,1
235,373,undirected,1
236,167,undirected,1
236,373,undirected,1
167,373,undirected,1
17,374,undirected,1
237,139,undirected,1
238,239,undirected,1
238,240,undirected,1
238,375,undirected,1
239,240,undirected,1
239,375,undirected,1
240,375,undirected,1
241,376,undirected,1
36,377,undirected,1
17,12,undirected,1
131,89,undirected,1
150,10,undirected,1
242,20,undirected,1
242,266,undirected,1
201,97,undirected,1
7,378,undirected,1
17,243,undirected,1
17,262,undirected,1
243,262,undirected,1
244,245,undirected,1
244,140,undirected,1
245,140,undirected,1
71,279,undirected,1
246,2,undirected,1
246,247,undirected,1
246,337,undirected,1
2,247,undirected,1
2,337,undirected,1
247,337,undirected,1
32,26,undirected,1
80,379,undirected,1
248,380,undirected,1
103,58,undirected,1
82,19,undirected,1
99,2,undirected,1
99,12,undirected,1
56,262,undirected,1
38,47,undirected,1
3,236,undirected,1
249,339,undirected,1
146,155,undirected,1
17,116,undirected,1
96,15,undirected,1
96,250,undirected,1
96,136,undirected,1
15,250,undirected,1
15,136,undirected,1
250,136,undirected,1
251,252,undirected,1
251,381,undirected,1
252,381,undirected,1
253,382,undirected,1
254,283,undirected,1
36,144,undirected,1
121,383,undirected,1
255,31,undirected,1
256,22,undirected,1
256,257,undirected,1
256,384,undirected,1
22,257,undirected,1
22,384,undirected,1
257,384,undirected,1
258,171,undirected,1
259,385,undirected,1
109,45,undirected,4
258,171,undirected,4
77,140,undirected,4
118,629,undirected,4
103,2,undirected,4
2,230,undirected,3
184,46,undirected,3
162,631,undirected,3
216,45,undirected,3
395,311,undirected,3
185,341,undirected,3
138,311,undirected,3
43,140,undirected,3
96,24,undirected,3
80,401,undirected,3
80,198,undirected,3
80,612,undirected,3
401,198,undirected,3
401,612,undirected,3
198,612,undirected,3
2,172,undirected,3
103,82,undirected,3
26,22,undirected,3
84,90,undirected,3
36,635,undirected,2
43,117,undirected,2
406,230,undirected,2
406,270,undirected,2
230,270,undirected,2
4,637,undirected,2
97,136,undirected,2
14,280,undirected,2
32,192,undirected,2
412,641,undirected,2
178,336,undirected,2
134,283,undirected,2
49,200,undirected,2
36,22,undirected,2
39,643,undirected,2
140,20,undirected,2
103,96,undirected,2
108,117,undirected,2
34,84,undirected,2
121,122,undirected,2
121,303,undirected,2
122,303,undirected,2
162,90,undirected,2
395,138,undirected,2
395,349,undirected,2
138,349,undirected,2
311,349,undirected,2
43,141,undirected,2
141,140,undirected,2
96,216,undirected,2
424,425,undirected,2
424,426,undirected,2
424,230,undirected,2
425,426,undirected,2
425,230,undirected,2
426,230,undirected,2
50,147,undirected,2
50,279,undirected,2
147,279,undirected,2
117,377,undirected,2
153,166,undirected,2
120,46,undirected,2
123,649,undirected,2
135,270,undirected,2
32,331,undirected,2
56,262,undirected,2
74,179,undirected,2
96,140,undirected,2
24,140,undirected,2
142,71,undirected,2
438,326,undirected,2
438,183,undirected,2
326,183,undirected,2
63,146,undirected,2
109,46,undirected,2
33,654,undirected,2
395,463,undirected,2
442,655,undirected,2
59,99,undirected,2
59,122,undirected,2
59,182,undirected,2
99,122,undirected,2
99,182,undirected,2
122,182,undirected,2
234,280,undirected,2
70,134,undirected,2
447,215,undirected,2
447,140,undirected,2
447,266,undirected,2
215,140,undirected,2
215,266,undirected,2
140,266,undirected,2
77,271,undirected,2
449,140,undirected,2
450,200,undirected,2
17,9,undirected,2
123,592,undirected,2
235,236,undirected,2
235,167,undirected,2
235,373,undirected,2
236,167,undirected,2
236,373,undirected,2
167,373,undirected,2
69,84,undirected,2
69,270,undirected,2
84,270,undirected,2
209,140,undirected,2
38,231,undirected,2
38,226,undirected,2
231,226,undirected,2
212,359,undirected,2
460,171,undirected,2
3,236,undirected,2
9,181,undirected,2
463,349,undirected,2
36,182,undirected,2
260,97,undirected,2
