Source,Target,Count,Year
Dalex,Lenny Tavárez,11,2019
Bad Bunny,J Balvin,10,2019
Capital Bra,Samra,10,2019
Nicky Jam,Sech,8,2019
Anuel AA,Ozuna,7,2019
Dalex,Sech,7,2019
Lenny Tavárez,Sech,7,2019
Dalex,Justin Quiles,7,2019
Justin Quiles,Lenny Tavárez,7,2019
Farruko,Sech,5,2019
Dalex,Feid,5,2019
Feid,Lenny Tavárez,5,2019
Feid,Sech,5,2019
Travis Scott,Young Thug,5,2019
Justin Quiles,Sech,5,2019
Farruko,Nicky Jam,5,2019
Anuel AA,KAROL G,4,2019
Post Malone,Swae Lee,4,2019
Dreamville,J. Cole,4,2019
Gunna,Young Thug,4,2019
Camilo,Mau y Ricky,4,2019
Anuel AA,Daddy Yankee,4,2019
Sech,Zion,4,2019
5 Seconds of Summer,The Chainsmokers,4,2019
J Balvin,Tyga,4,2019
Dalex,Farruko,4,2019
Farruko,Justin Quiles,4,2019
Farruko,Lenny Tavárez,4,2019
Darell,Nicky Jam,3,2019
Darell,Ozuna,3,2019
Nicky Jam,Ozuna,3,2019
Anuel AA,DJ Luian,3,2019
Anuel AA,Mambo Kingz,3,2019
DJ Luian,Mambo Kingz,3,2019
Aloe Blacc,Avicii,3,2019
Dreamville,Young Nudy,3,2019
J. Cole,Young Nudy,3,2019
ILLENIUM,Lennon Stella,3,2019
ILLENIUM,The Chainsmokers,3,2019
Lennon Stella,The Chainsmokers,3,2019
Bebe Rexha,The Chainsmokers,3,2019
Daddy Yankee,Ozuna,3,2019
Farruko,Zion,3,2019
Europa,Jax Jones,3,2019
Europa,Madison Beer,3,2019
Europa,Martin Solveig,3,2019
Jax Jones,Madison Beer,3,2019
Jax Jones,Martin Solveig,3,2019
Madison Beer,Martin Solveig,3,2019
Eminem,Logic,3,2019
Juice WRLD,Lil Tecca,3,2019
Diplo,LSD,3,2019
Diplo,Labrinth,3,2019
Diplo,Sia,3,2019
LSD,Labrinth,3,2019
LSD,Sia,3,2019
Labrinth,Sia,3,2019
Dalex,Rafa Pabön,3,2019
Feid,Rafa Pabön,3,2019
Lenny Tavárez,Rafa Pabön,3,2019
Rafa Pabön,Sech,3,2019
Anuel AA,Nicky Jam,3,2019
Cardi B,DJ Snake,3,2019
Cardi B,Ozuna,3,2019
Cardi B,Selena Gomez,3,2019
DJ Snake,Ozuna,3,2019
DJ Snake,Selena Gomez,3,2019
Ozuna,Selena Gomez,3,2019
Bas,Dreamville,3,2019
Bas,JID,3,2019
Dreamville,JID,3,2019
Anuel AA,Darell,3,2019
Travis Barker,YUNGBLUD,3,2019
Agnes,Avicii,3,2019
Agnes,Vargas & Lagola,3,2019
Avicii,Vargas & Lagola,3,2019
Brytiago,Darell,3,2019
DJ Snake,J Balvin,3,2019
DJ Snake,Tyga,3,2019
Brendon Urie,Taylor Swift,3,2019
Ed Sheeran,Stormzy,3,2019
Post Malone,Travis Scott,3,2019
Trippie Redd,XXXTENTACION,3,2019
Goodboys,MEDUZA,3,2019
Drake,Rick Ross,3,2019
DaBaby,Lil Baby,3,2019
Dalex,Nicky Jam,3,2019
Feid,Justin Quiles,3,2019
Justin Quiles,Nicky Jam,3,2019
Lenny Tavárez,Nicky Jam,3,2019
Dímelo Flow,Sech,3,2019
Dalex,Zion,3,2019
Justin Quiles,Zion,3,2019
Lenny Tavárez,Zion,3,2019
Offset,Tyga,3,2019
Tyga,YG,3,2019
Billy Ray Cyrus,Lil Nas X,3,2019
Capital Bra,Summer Cem,3,2019
Bad Bunny,Daddy Yankee,3,2019
Bad Bunny,Lunay,3,2019
Daddy Yankee,Lunay,3,2019
Lil Baby,Meek Mill,2,2019
Lil Baby,Post Malone,2,2019
Meek Mill,Post Malone,2,2019
Daddy Yankee,Snow,2,2019
21 Savage,Offset,2,2019
Migos,Mustard,2,2019
RANI,Sam Feldt,2,2019
Reik,Sebastian Yatra,2,2019
Loredana,MERO,2,2019
Gunna,Lil Mosey,2,2019
Camilo,Manuel Turizo,2,2019
Manuel Turizo,Mau y Ricky,2,2019
Anuel AA,J Balvin,2,2019
Daddy Yankee,J Balvin,2,2019
J Balvin,Ozuna,2,2019
Arcangel,Sech,2,2019
Farruko,Myke Towers,2,2019
Drake,Lil Baby,2,2019
Ed Sheeran,Khalid,2,2019
Post Malone,SZA,2,2019
Juice WRLD,benny blanco,2,2019
Lauv,Troye Sivan,2,2019
KAROL G,Maluma,2,2019
Cazzu,Dalex,2,2019
Cazzu,Feid,2,2019
Cazzu,KHEA,2,2019
Cazzu,Lenny Tavárez,2,2019
Cazzu,Rafa Pabön,2,2019
Cazzu,Sech,2,2019
Dalex,KHEA,2,2019
Feid,KHEA,2,2019
KHEA,Lenny Tavárez,2,2019
KHEA,Rafa Pabön,2,2019
KHEA,Sech,2,2019
Chris Brown,Drake,2,2019
J Balvin,Sean Paul,2,2019
Manuel Turizo,Ozuna,2,2019
J. Cole,Travis Scott,2,2019
J. Cole,Young Thug,2,2019
Darell,Sech,2,2019
Ozuna,Sech,2,2019
Billie Eilish,Khalid,2,2019
Disclosure,Khalid,2,2019
Gunna,Travis Scott,2,2019
Drake,Summer Walker,2,2019
9lokknine,YNW Melly,2,2019
Bruno Mars,Chris Stapleton,2,2019
Bruno Mars,Ed Sheeran,2,2019
Chris Stapleton,Ed Sheeran,2,2019
Anuel AA,Brytiago,2,2019
Chris Brown,Tyga,2,2019
Bas,EARTHGANG,2,2019
Bas,J. Cole,2,2019
Bas,Young Nudy,2,2019
Dreamville,EARTHGANG,2,2019
EARTHGANG,J. Cole,2,2019
EARTHGANG,JID,2,2019
EARTHGANG,Young Nudy,2,2019
J. Cole,JID,2,2019
JID,Young Nudy,2,2019
A Boogie Wit da Hoodie,Roddy Ricch,2,2019
6ix9ine,Nicki Minaj,2,2019
Game of Thrones,SZA,2,2019
Game of Thrones,The Weeknd,2,2019
Game of Thrones,Travis Scott,2,2019
SZA,The Weeknd,2,2019
SZA,Travis Scott,2,2019
The Weeknd,Travis Scott,2,2019
Ed Sheeran,Yebba,2,2019
Burna Boy,Ed Sheeran,2,2019
Burna Boy,Stormzy,2,2019
Luciano,Samra,2,2019
Ozzy Osbourne,Post Malone,2,2019
Ozzy Osbourne,Travis Scott,2,2019
PnB Rock,Trippie Redd,2,2019
PnB Rock,XXXTENTACION,2,2019
Post Malone,Roddy Ricch,2,2019
Post Malone,Tyga,2,2019
Roddy Ricch,Tyga,2,2019
6ix9ine,Anuel AA,2,2019
MACHETE,Salmo,2,2019
Diplo,Major Lazer,2,2019
Burna Boy,Jorja Smith,2,2019
Daddy Yankee,Natti Natasha,2,2019
Camila Cabello,Mark Ronson,2,2019
BTS,Halsey,2,2019
Brendon Urie,Panic! At The Disco,2,2019
Panic! At The Disco,Taylor Swift,2,2019
ScHoolboy Q,Travis Scott,2,2019
Chance the Rapper,Ed Sheeran,2,2019
Chance the Rapper,PnB Rock,2,2019
Ed Sheeran,PnB Rock,2,2019
Dímelo Flow,Zion,2,2019
Y2K,bbno$,2,2019
Dalex,Rich Music LTD,2,2019
Dalex,Wisin,2,2019
Feid,Rich Music LTD,2,2019
Feid,Wisin,2,2019
Feid,Zion,2,2019
Justin Quiles,Rich Music LTD,2,2019
Justin Quiles,Wisin,2,2019
Lenny Tavárez,Rich Music LTD,2,2019
Lenny Tavárez,Wisin,2,2019
Rich Music LTD,Sech,2,2019
Rich Music LTD,Wisin,2,2019
Rich Music LTD,Zion,2,2019
Sech,Wisin,2,2019
Wisin,Zion,2,2019
Dalex,Natti Natasha,2,2019
Farruko,Natti Natasha,2,2019
Justin Quiles,Natti Natasha,2,2019
Lenny Tavárez,Natti Natasha,2,2019
Camila Cabello,Shawn Mendes,2,2019
Fall Out Boy,Macklemore,2,2019
Fall Out Boy,Martin Garrix,2,2019
Macklemore,Martin Garrix,2,2019
Jon Z,Tyga,2,2019
Jon Z,YG,2,2019
Dan Caplen,Jess Glynne,2,2019
Dan Caplen,Macklemore,2,2019
Dan Caplen,Rudimental,2,2019
Jess Glynne,Macklemore,2,2019
Jess Glynne,Rudimental,2,2019
Macklemore,Rudimental,2,2019
Lil Tjay,Polo G,2,2019
Future,Halsey,2,2019
Future,Post Malone,2,2019
Halsey,Post Malone,2,2019
Anne-Marie,Lauv,2,2019
Kehlani,Ty Dolla $ign,2,2019
DaBaby,Post Malone,2,2019
Ant Clemons,Kanye West,2,2019
Ed Sheeran,Justin Bieber,2,2019
Offset,Travis Scott,2,2019
Gunna,Lil Baby,2,2019
Dalex,Maluma,2,2019
Farruko,Maluma,2,2019
Justin Quiles,Maluma,2,2019
Lenny Tavárez,Maluma,2,2019
Maluma,Nicky Jam,2,2019
Maluma,Sech,2,2019
Capital Bra,KC Rebell,2,2019
KC Rebell,Summer Cem,2,2019
Capital Bra,LEA,2,2019
LEA,Samra,2,2019
Adriana Proenza,Kina,2,2019
Dalex,Dímelo Flow,2,2019
Dímelo Flow,Lenny Tavárez,2,2019
Luis Fonsi,Ozuna,2,2019
Loredana,Mozzik,2,2019
Justin Quiles,Paulo Londra,2,2019
DaBaby,Quality Control,2,2019
Lil Baby,Quality Control,2,2019
Alan Walker,Farruko,2,2019
Alan Walker,Sabrina Carpenter,2,2019
Farruko,Sabrina Carpenter,2,2019
NAV,The Weeknd,2,2019
Ariana Grande,Lana Del Rey,2,2019
Ariana Grande,Miley Cyrus,2,2019
Lana Del Rey,Miley Cyrus,2,2019
Anuel AA,Romeo Santos,2,2019
Machine Gun Kelly,Travis Barker,2,2019
Machine Gun Kelly,YUNGBLUD,2,2019
Gucci Mane,Logic,1,2019
RAF Camora,Ufo361,1,2019
Juice WRLD,Trippie Redd,1,2019
Juice WRLD,YNW Melly,1,2019
Trippie Redd,YNW Melly,1,2019
Diplo,Morgan Wallen,1,2019
James Blake,Metro Boomin,1,2019
James Blake,Travis Scott,1,2019
Metro Boomin,Travis Scott,1,2019
Erika Sirola,Robin Schulz,1,2019
Eartha Kitt,Henri Rene & His Orchestra,1,2019
Post Malone,Young Thug,1,2019
Khalid,Normani,1,2019
Becky G,Natti Natasha,1,2019
5 Seconds of Summer,Julia Michaels,1,2019
Daddy Yankee,Katy Perry,1,2019
Katy Perry,Snow,1,2019
21 Savage,DJ Snake,1,2019
21 Savage,Gucci Mane,1,2019
21 Savage,Sheck Wes,1,2019
DJ Snake,Gucci Mane,1,2019
DJ Snake,Offset,1,2019
DJ Snake,Sheck Wes,1,2019
Gucci Mane,Offset,1,2019
Gucci Mane,Sheck Wes,1,2019
Offset,Sheck Wes,1,2019
Bad Bunny,Casper Magico,1,2019
Bad Bunny,Darell,1,2019
