Source,Target,Weight,avg_streams,Year
pop rap,rap,870,55308209.3839286,2017
rap,trap,798,66061098.0869565,2017
hip hop,rap,733,58862715.6703297,2017
pop rap,trap,601,63798752.4444445,2017
dance pop,pop,640,131551792.391304,2017
pop,pop rap,515,89798453.9469027,2017
hip hop,pop rap,526,60289895.2134832,2017
pop,rap,467,69650079.6548673,2017
rap,rap,592,58659712.3737374,2017
hip hop,trap,454,55057573.2533333,2017
latin,reggaeton,885,128144206.755102,2017
rap,southern hip hop,449,48413675.8333333,2017
pop,pop,537,137270203.226891,2017
pop rap,pop rap,342,61470230.5952381,2017
dance pop,pop rap,311,100121348.091954,2017
pop rap,southern hip hop,337,57912841.3157895,2017
hip hop,pop,285,74042932.3902439,2017
atl hip hop,rap,334,68745912.8730159,2017
pop,trap,283,84981816.1857143,2017
pop,post-teen pop,471,149848818.729412,2017
pop,tropical house,349,138845855.36,2017
southern hip hop,trap,306,57660110.0175439,2017
dance pop,rap,246,78466057.1081081,2017
latin,tropical,442,128119600.809524,2017
atl hip hop,pop rap,251,50331832.8275862,2017
edm,pop,304,126062362.75,2017
hip hop,southern hip hop,267,41072546.9666667,2017
reggaeton,tropical,374,134988684.210526,2017
trap,trap,284,57660110.0175439,2017
melodic rap,rap,280,84359835.5116279,2017
latin,latin,519,126196146.66,2017
atl hip hop,trap,217,45636958.6829268,2017
dance pop,tropical house,247,143039982.0,2017
pop rap,post-teen pop,218,113224356.439394,2017
pop,southern hip hop,169,76635231.5,2017
atl hip hop,hip hop,203,50119361.1458333,2017
dance pop,post-teen pop,298,154026040.761905,2017
hip hop,hip hop,245,46171337.7636364,2017
dance pop,trap,161,97060720.8076923,2017
latin,latin hip hop,310,144592686.515152,2017
dance pop,edm,219,131937352.22807,2017
dance pop,hip hop,145,91671561.9245283,2017
melodic rap,pop rap,190,69815024.8372093,2017
reggaeton,reggaeton,373,97368157.8333333,2017
dance pop,dance pop,207,149752897.333333,2017
post-teen pop,rap,168,93519484.3454545,2017
latin,reggaeton flow,348,109505049.625,2017
reggaeton,trap latino,327,85171536.1304348,2017
latin,trap latino,367,83701009.5909091,2017
reggaeton,reggaeton flow,317,105325509.818182,2017
latin hip hop,reggaeton,269,104814658.5,2017
atl hip hop,southern hip hop,144,43135903.1025641,2017
melodic rap,trap,217,83957351.9393939,2017
electropop,pop,224,145717129.045455,2017
edm,post-teen pop,157,150466525.92,2017
hip hop,post-teen pop,114,102028954.906977,2017
atl hip hop,pop,108,97793136.4594594,2017
dance pop,southern hip hop,96,76423937.0,2017
post-teen pop,tropical house,172,161958573.645833,2017
electro house,pop,116,102672549.534884,2017
hip hop,melodic rap,130,74714386.7241379,2017
trap latino,tropical,181,94851526.1111111,2017
post-teen pop,trap,106,120466913.777778,2017
latin hip hop,tropical,126,172474535.789474,2017
pop rap,tropical house,86,108162725.6,2017
edm,tropical house,120,118355595.814815,2017
edm,pop rap,92,111136396.033333,2017
dance pop,electro house,79,116810930.060606,2017
reggaeton flow,tropical,155,104517406.466667,2017
pop,uk dance,98,110718296.566667,2017
rap,urban contemporary,78,69186434.2307692,2017
melodic rap,southern hip hop,98,54770998.7692308,2017
melodic rap,pop,91,106988784.181818,2017
reggaeton flow,trap latino,164,88791236.0714286,2017
pop rap,urban contemporary,74,97129248.1739131,2017
canadian pop,rap,83,64068114.0,2017
r&b,rap,86,57280424.5217391,2017
canadian pop,pop rap,69,78056780.4090909,2017
latin,latin pop,138,152674035.04,2017
latin hip hop,trap latino,143,98018414.3571428,2017
gangster rap,pop rap,81,25917593.4117647,2017
gangster rap,rap,115,22164596.2352941,2017
dirty south rap,pop rap,71,76971174.3913043,2017
hip hop,urban contemporary,58,86062692.52,2017
atl hip hop,dance pop,57,111491642.115385,2017
pop rap,r&b,76,88583771.1176471,2017
atl hip hop,melodic rap,84,83026853.2727273,2017
canadian pop,trap,62,52477223.7619048,2017
pop,urban contemporary,64,127571946.263158,2017
tropical,tropical,83,167229516.5,2017
hip hop,r&b,62,59562222.0,2017
southern hip hop,southern hip hop,74,37327321.4482759,2017
house,pop,66,67444155.8095238,2017
dirty south rap,rap,75,81485633.55,2017
dance pop,uk dance,77,116215198.857143,2017
electro house,pop rap,40,85266288.9473684,2017
pop,progressive house,57,101912025.954545,2017
edm,rap,61,94311889.55,2017
dance pop,electropop,115,168045603.416667,2017
tropical house,tropical house,73,120248614.458333,2017
